,Unnamed: 0,x,y,z
0,24754,-1.4555148,4.374164,2.397682
1,24755,-1.4267248,4.3770933,2.394478
2,24756,-1.4308397,4.483199,2.4471157
3,24757,-1.4046261,4.4961386,2.4494042
4,24804,-0.06784828,4.7072825,2.4480312
5,24805,-0.039002966,4.712945,2.4507775
6,24806,-0.01007757,4.707761,2.4480312
7,24807,0.018730428,4.6917305,2.4397922
8,24808,0.04787132,4.7235327,2.45627
9,25793,-1.5167675,4.3712325,2.3406131
10,25794,-1.4893422,4.3787637,2.3397179
11,25795,-1.4697913,4.409879,2.3513556
12,25796,-1.4665511,4.491928,2.3898494
13,25797,-1.4465792,4.524694,2.4023821
14,25814,-0.9745095,4.683991,2.4193912
15,25815,-0.9452212,4.687252,2.4180484
16,25816,-0.90959793,4.6578555,2.4001443
17,25817,-0.8810007,4.663349,2.4001443
18,25818,-0.8498049,4.654591,2.3929825
19,25819,-0.81441146,4.6209664,2.3732882
20,25820,-0.78050965,4.593256,2.3567266
21,25821,-0.7485641,4.5750127,2.345089
22,25822,-0.7204783,4.5795197,2.345089
23,25823,-0.690766,4.573243,2.3397179
24,25824,-0.6545095,4.520753,2.3110712
25,25825,-0.6218616,4.489251,2.293167
27,25827,-0.5412936,4.2942514,2.1911137
28,25830,-0.46168286,4.2990417,2.1888757
29,25831,-0.43188593,4.2679844,2.1718667
30,25832,-0.4034146,4.246517,2.1597815
31,25833,-0.3774297,4.249803,2.160229
32,25834,-0.35251972,4.266299,2.1673906
33,25835,-0.32552114,4.2576814,2.1620195
34,25836,-0.2981424,4.241758,2.1530674
35,25837,-0.27250832,4.249754,2.1562006
36,25838,-0.24601562,4.244204,2.1526198
37,25839,-0.21969323,4.2402754,2.149934
38,25840,-0.19359028,4.239757,2.149039
39,25841,-0.16799204,4.251588,2.1544101
40,25842,-0.14246254,4.2695193,2.1629145
41,25843,-0.11732021,4.309645,2.182609
42,25846,-0.03786775,4.298556,2.1763427
43,25847,-0.011550182,4.3237457,2.1888757
44,25848,0.015424731,4.440879,2.2475116
45,25849,0.04337479,4.5113416,2.2828722
46,25850,0.07121309,4.520826,2.2877958
47,25851,0.10032093,4.5819902,2.3186805
48,25852,0.12790148,4.562517,2.3092809
49,25853,0.15589416,4.5616465,2.3092809
50,25854,0.18460709,4.578474,2.3182328
51,25855,0.21244587,4.5718956,2.3155472
52,25856,0.24082537,4.576757,2.3186805
53,25857,0.26995823,4.5930467,2.3276324
54,25858,0.29842666,4.595765,2.3298705
55,25859,0.3272571,4.6027675,2.3343465
56,25860,0.35680717,4.6176124,2.342851
57,25861,0.38617852,4.6278114,2.3491175
58,25862,0.41448689,4.624464,2.3486698
59,25863,0.4443089,4.636966,2.3562791
60,25864,0.4742999,4.649276,2.3638883
61,25865,0.5036867,4.6542788,2.3679168
62,25866,0.53457993,4.671534,2.3782117
63,26832,-1.5918072,4.4291162,2.3103871
64,26833,-1.5672944,4.446435,2.3143184
65,26834,-1.5367472,4.446616,2.3095136
66,26835,-1.5126117,4.465333,2.3143184
67,26836,-1.5024859,4.526604,2.3409634
68,26840,-1.402499,4.5999703,2.3601825
69,26841,-1.3701308,4.594698,2.3531938
70,26842,-1.3341,4.5762486,2.339653
71,26843,-1.2931665,4.5393653,2.3169394
72,26844,-1.257323,4.5186176,2.3025248
73,26845,-1.2043134,4.4333687,2.255787
74,26846,-1.1184785,4.219832,2.1448393
75,26847,-1.0810694,4.1822014,2.1225624
76,26848,-1.057368,4.196606,2.1264937
77,26849,-0.9983192,4.067613,2.0587895
78,26850,-0.97082996,4.0631638,2.0535479
79,26851,-0.9407814,4.047141,2.0426278
80,26855,-0.84829,4.103364,2.059663
81,26856,-0.8209723,4.097908,2.0544214
82,26857,-0.79478306,4.09757,2.0518005
83,26858,-0.767632,4.0917606,2.0465589
84,26859,-0.7417073,4.0919685,2.044375
85,26860,-0.71813846,4.105303,2.048743
86,26861,-0.6926356,4.107858,2.0478694
87,26862,-0.66597307,4.103152,2.0435014
88,26863,-0.63967234,4.100051,2.0400069
89,26864,-0.6157044,4.111905,2.0439382
90,26865,-0.59007853,4.112934,2.0426278
91,26866,-0.56519866,4.119151,2.0439382
92,26867,-0.5395621,4.1198654,2.0426278
93,26868,-0.5138264,4.1195283,2.0408804
94,26869,-0.48800895,4.1181374,2.0386965
95,26870,-0.4629327,4.122842,2.03957
96,26871,-0.43591335,4.1095037,2.0317078
97,26872,-0.41006184,4.1058354,2.02865
98,26873,-0.384356,4.1029005,2.0260293
99,26874,-0.3603544,4.1186233,2.0325813
100,26875,-0.33551544,4.1261363,2.035202
101,26876,-0.31053016,4.132602,2.0373862
102,26877,-0.28504273,4.132635,2.0365126
103,26878,-0.2601335,4.1414886,2.0400069
104,26879,-0.23466574,4.1421084,2.03957
105,26880,-0.2098395,4.15515,2.0452485
106,26881,-0.18385817,4.145575,2.0400069
107,26882,-0.15817547,4.140333,2.0369494
108,26883,-0.1329135,4.145721,2.0391333
109,26884,-0.10752054,4.148257,2.0400069
110,26885,-0.082173824,4.154235,2.0426278
111,26886,-0.056958903,4.1744494,2.0522373
112,26887,-0.03139324,4.181017,2.055295
113,26888,-0.0057276986,4.174834,2.0522373
114,26889,0.020004384,4.200877,2.0649047
115,26890,0.045837156,4.206073,2.0675254
116,26891,0.071509026,4.197617,2.0635943
117,26892,0.09724323,4.1962004,2.0631573
118,26893,0.123405814,4.2099113,2.0701463
119,26894,0.14961399,4.219863,2.075388
120,26895,0.17550376,4.2188654,2.075388
121,26896,0.20189826,4.228492,2.0806296
122,26897,0.22851372,4.239749,2.0867448
123,26898,0.25489944,4.244553,2.0898023
124,26899,0.2828313,4.2716327,2.10378
125,26900,0.3089069,4.268022,2.1029065
126,26901,0.33677286,4.28757,2.1133897
127,26902,0.36405808,4.2970757,2.1190681
128,26903,0.39496216,4.344931,2.143529
129,26904,0.42308775,4.357647,2.1509545
130,26905,0.45202917,4.376445,2.1614377
131,26906,0.48199818,4.4022045,2.1754155
132,26907,0.51260954,4.4304414,2.1907036
133,26908,0.5489066,4.502223,2.2273948
134,26909,0.58496284,4.5648,2.2597182
135,26910,0.6196555,4.611053,2.2841792
136,26911,0.6479367,4.6071644,2.2841792
137,26912,0.6777593,4.6137824,2.2894208
138,26913,0.7076874,4.620208,2.2946625
139,26914,0.7452135,4.673523,2.3230546
140,26915,0.7685895,4.6369123,2.3073297
141,27866,-1.8835758,4.622148,2.3679218
142,27867,-1.8400061,4.5958123,2.3488045
143,27868,-1.8074558,4.5960674,2.3432815
144,27869,-1.7618978,4.5623283,2.3207655
145,27870,-1.717466,4.529897,2.2990992
146,27871,-1.6633722,4.469953,2.263838
147,27872,-1.5858018,4.3432117,2.1954403
148,27873,-1.5422908,4.3060017,2.1720746
149,27874,-1.5065159,4.288915,2.1589048
150,27875,-1.4698268,4.26813,2.1440356
151,27878,-1.3812242,4.2643275,2.1291666
152,27879,-1.3575029,4.2804866,2.13299
153,27880,-1.2868001,4.146121,2.0628927
154,27881,-1.2597526,4.1487427,2.0603437
155,27882,-1.2306532,4.1442485,2.0543962
156,27883,-1.20115,4.137815,2.0475988
157,27884,-1.1720201,4.132047,2.0412264
158,27885,-1.1432488,4.1269503,2.0352788
159,27886,-1.1133986,4.117288,2.027207
160,27887,-1.0837101,4.1074157,2.0191352
161,27888,-1.0562227,4.1052227,2.0148869
162,27889,-1.0299084,4.107237,2.0127625
163,27890,-1.0025309,4.104687,2.0085144
164,27891,-0.97543377,4.1028366,2.004691
165,27892,-0.94880694,4.102572,2.001717
166,27893,-0.9220206,4.101252,1.9983184
167,27894,-0.8952863,4.0997586,1.9949198
168,27895,-0.8701138,4.1051745,1.9949198
169,27896,-0.8450917,4.111323,1.9953445
170,27897,-0.8180721,4.1075544,1.9910963
171,27898,-0.7914752,4.1053867,1.9876976
172,27899,-0.7656029,4.106607,1.9859983
173,27900,-0.74006814,4.1094456,1.9851485
174,27901,-0.7131245,4.1040998,1.9804754
175,27902,-0.6873272,4.1048274,1.9787761
176,27903,-0.66212755,4.108968,1.9787761
177,27904,-0.63662404,4.111164,1.9779265
178,27905,-0.6105828,4.109621,1.9753774
179,27906,-0.5852267,4.112394,1.9749527
180,27907,-0.56010544,4.1168046,1.9753774
181,27908,-0.5340126,4.11388,1.9724036
182,27909,-0.509096,4.1197743,1.9736781
183,27910,-0.48402083,4.1246185,1.9745278
184,27911,-0.4576946,4.1185145,1.9702795
185,27912,-0.43203375,4.1176443,1.9685801
186,27913,-0.40685007,4.1211185,1.969005
187,27914,-0.3819773,4.128044,1.9711292
188,27915,-0.3566409,4.13031,1.9711292
189,27916,-0.33151084,4.1351275,1.9724036
190,27917,-0.30565792,4.130765,1.9694299
191,27918,-0.28099018,4.142497,1.974103
192,27919,-0.25573692,4.1468534,1.9753774
193,27920,-0.23044074,4.1510563,1.976652
194,27921,-0.20510261,4.1551046,1.9779265
195,27922,-0.1796035,4.156285,1.9779265
196,27923,-0.15399432,4.1545944,1.976652
197,27924,-0.12847042,4.1545563,1.9762272
198,27925,-0.10318615,4.163411,1.9800506
199,27926,-0.07770914,4.1675863,1.9817499
200,27927,-0.052196994,4.1725106,1.9838741
201,27928,-0.02657394,4.170037,1.9825996
202,27929,-0.0009966613,4.178269,1.9864231
203,27930,0.024658468,4.181817,1.9881225
204,27931,0.050367095,4.1861134,1.9902465
205,27932,0.07622262,4.195682,1.9949198
206,27933,0.10204979,4.1987553,1.9966191
207,27934,0.12807743,4.207099,2.0008674
208,27935,0.1540503,4.2107573,2.0029914
209,27936,0.17992188,4.2106376,2.0034163
210,27937,0.20575447,4.209454,2.0034163
211,27938,0.23153047,4.2072086,2.0029914
212,27939,0.25897285,4.2328176,2.0157366
213,27940,0.28523976,4.2356653,2.0178607
214,27941,0.31148586,4.2374473,2.0195599
215,27942,0.33811963,4.2435784,2.0233834
216,27943,0.36484036,4.249542,2.027207
217,27944,0.39115444,4.2499285,2.0284815
218,27945,0.4180127,4.2555575,2.032305
219,27946,0.44709703,4.2817273,2.0458994
220,27949,0.5388885,4.379706,2.0964544
221,27953,0.660699,4.463682,2.1431859
222,27954,0.704541,4.5669217,2.1941657
223,27955,0.73568934,4.5821795,2.203512
224,27956,0.7673477,4.599013,2.213708
225,27957,0.7950913,4.5915413,2.2124336
226,27958,0.8391628,4.675694,2.2549167
227,28831,-2.1725326,4.6046114,2.3345368
228,28832,-2.1419408,4.612897,2.3320591
229,28833,-2.1041512,4.6052356,2.3217356
230,28834,-2.0687728,4.6022706,2.3138897
231,28835,-2.029099,4.5890465,2.3010883
232,28836,-1.9893034,4.574674,2.287874
233,28837,-1.9426137,4.5432324,2.2664008
234,28838,-1.9002599,4.520631,2.2494702
235,28839,-1.8738742,4.535574,2.251122
236,28840,-1.8159242,4.4727006,2.2147827
237,28841,-1.7988833,4.509992,2.2275841
238,28842,-1.7549337,4.4793787,2.2073498
239,28843,-1.7143645,4.4560504,2.190832
240,28844,-1.6770377,4.440065,2.1780305
241,28845,-1.6320765,4.4024334,2.1549056
242,28846,-1.6053436,4.413221,2.1553185
243,28847,-1.5568624,4.362924,2.1264124
244,28848,-1.5213615,4.3474574,2.1144369
245,28849,-1.4905307,4.344646,2.1086557
246,28850,-1.4603708,4.3433475,2.1037004
247,28851,-1.4294305,4.339247,2.0975063
248,28852,-1.3960861,4.327128,2.0875955
249,28853,-1.3498154,4.2730656,2.0578635
250,28854,-1.3163298,4.257767,2.0467138
251,28855,-1.2581131,4.1593795,1.9963346
252,28856,-1.2266457,4.146928,1.9868368
253,28857,-1.1963873,4.1377482,1.9789908
254,28858,-1.1665345,4.129231,1.9715579
255,28859,-1.1373143,4.12226,1.9649507
256,28860,-1.1094035,4.1194844,1.9604083
257,28861,-1.0806473,4.112998,1.9542141
258,28862,-1.0526882,4.108961,1.9492588
259,28863,-1.0252589,4.1065044,1.9451293
260,28864,-0.99704224,4.1003256,1.9393481
261,28865,-0.97186434,4.106366,1.9393481
262,28866,-0.9444121,4.102487,1.9348056
263,28867,-0.91704416,4.098426,1.9302633
264,28868,-0.8907243,4.0986347,1.9277856
265,28869,-0.86387527,4.0960007,1.924069
266,28870,-0.8372737,4.0940843,1.9207655
267,28871,-0.811961,4.0982513,1.9203526
268,28872,-0.7866287,4.1022615,1.9199396
269,28873,-0.75896597,4.093576,1.9137455
270,28874,-0.73367435,4.097259,1.9133325
271,28875,-0.7088285,4.103479,1.9141585
272,28876,-0.68363667,4.1077514,1.9141585
273,28877,-0.65770364,4.1073713,1.9120936
274,28878,-0.63056284,4.0987253,1.9063125
275,28879,-0.6048735,4.0989127,1.9046607
276,28880,-0.5799647,4.104351,1.9054866
277,28881,-0.55525386,4.111443,1.9071383
278,28882,-0.5299006,4.113869,1.9067254
279,28883,-0.5048682,4.118851,1.9075513
280,28884,-0.47916853,4.1182523,1.9058995
281,28885,-0.45310006,4.113872,1.9025959
282,28886,-0.4279425,4.1174808,1.9030089
283,28887,-0.4026701,4.120029,1.9030089
284,28888,-0.37713614,4.119701,1.90177
285,28889,-0.35192758,4.122845,1.9021829
286,28890,-0.3262688,4.120387,1.9001182
287,28891,-0.30098042,4.122311,1.9001182
288,28892,-0.2760397,4.1295333,1.9025959
289,28893,-0.25069615,4.1311493,1.9025959
290,28894,-0.22519717,4.1298814,1.901357
291,28895,-0.19998172,4.1339145,1.9025959
292,28896,-0.17468773,4.1368837,1.9034219
293,28897,-0.14942868,4.1415186,1.9050736
294,28898,-0.12417199,4.1478195,1.9075513
295,28899,-0.09882284,4.153056,1.909616
296,28900,-0.07345959,4.1608696,1.9129195
297,28901,-0.047946732,4.163063,1.9137455
298,28902,-0.022413705,4.1660113,1.9149843
299,28903,0.0031585086,4.171535,1.917462
300,28904,0.028776085,4.174169,1.9187008
301,28905,0.054387763,4.173914,1.9187008
302,28906,0.0799974,4.173502,1.9187008
303,28907,0.105747744,4.178395,1.9211785
304,28908,0.1317384,4.188591,1.9261339
305,28909,0.15782301,4.1977143,1.9306762
306,28910,0.18410595,4.208495,1.9360446
307,28911,0.21015678,4.211834,1.9381093
308,28912,0.23604803,4.2113748,1.9385222
309,28913,0.26228625,4.2162094,1.9414128
310,28914,0.2889708,4.226332,1.9467812
311,28915,0.31496626,4.2253876,1.9471941
312,28916,0.34148017,4.2306376,1.9504976
313,28917,0.36767167,4.2311845,1.9517365
314,28918,0.39422393,4.235196,1.954627
315,28919,0.42165706,4.2471967,1.9612342
316,28920,0.44896296,4.256303,1.9666024
317,28921,0.4759885,4.261613,1.970319
318,28922,0.50234336,4.2604213,1.9711449
319,28923,0.53220695,4.287081,1.9847721
320,28924,0.57119447,4.3803554,2.0289574
321,28925,0.5980611,4.376768,2.0289574
322,28926,0.63087106,4.414484,2.0479527
323,28927,0.6571346,4.405126,2.045475
324,28928,0.6935816,4.4612985,2.0731425
325,28931,0.8031069,4.6047635,2.145408
326,28932,0.83216,4.6042295,2.1474726
327,28933,0.864939,4.6232038,2.158622
328,28934,0.8960705,4.632114,2.1652293
329,28935,0.9373819,4.6908207,2.1949613
330,29866,-2.3940115,4.6443105,2.3253467
331,29867,-2.3373067,4.6034074,2.29796
332,29868,-2.3000154,4.599649,2.2890995
333,29869,-2.2604342,4.590679,2.2778227
334,29870,-2.2166603,4.5723367,2.2621155
335,29871,-2.1771371,4.561893,2.2504358
336,29872,-2.1417153,4.559423,2.2427835
337,29873,-2.085679,4.5118194,2.2133832
338,29874,-2.0469728,4.5003667,2.2017035
