,Unnamed: 0.1,Unnamed: 0,x,y,z
1960,1960,35967,-4.970531,3.6240635,2.2058306
1961,1961,35968,-4.919371,3.6332312,2.1931522
1962,1962,35969,-4.8682866,3.6419082,2.1804738
1963,1963,35970,-4.8398347,3.6671603,2.1778045
1964,1964,35971,-4.817991,3.6973612,2.1781383
1965,1965,35972,-4.8004265,3.7309003,2.1804738
1966,1966,35973,-4.7915254,3.7713535,2.1868129
1967,1967,35974,-4.785259,3.814186,2.1944866
1968,1968,35975,-4.781582,3.8594494,2.203495
1969,1969,35976,-4.77972,3.906599,2.2135043
1970,1970,35977,-4.7752786,3.9520686,2.2225127
1971,1971,35978,-4.76829,3.9958153,2.23052
1972,1972,35979,-4.760224,4.039015,2.2381938
1973,1973,35980,-4.756815,4.086562,2.248203
1974,1974,35981,-4.767235,4.146584,2.2648852
1975,1975,35982,-4.7551517,4.187586,2.2712245
1976,1976,35983,-4.754009,4.238626,2.282902
1977,1977,35984,-4.7405148,4.279078,2.2889075
1978,1978,35985,-4.7817097,4.3697286,2.3212707
1979,1979,35986,-4.841355,4.4789567,2.362976
1980,1980,35987,-4.831681,4.525322,2.3716507
1981,1981,35988,-4.810668,4.5613656,2.3749871
1982,1982,35989,-4.7859917,4.5940595,2.3766553
1983,1983,35990,-4.832801,4.6962175,2.4136896
2239,2239,36937,-5.2988625,3.6062124,2.2060952
2240,2240,36938,-5.2571564,3.6252072,2.198055
2241,2241,36939,-5.155677,3.602031,2.1652515
2242,2242,36940,-5.094853,3.6062205,2.149171
2243,2243,36941,-5.0410953,3.6147707,2.1359854
2244,2244,36942,-4.98666,3.622241,2.122478
2245,2245,36943,-4.9269876,3.6252484,2.1067193
2246,2246,36944,-4.840909,3.607839,2.0797045
2247,2247,36945,-4.8035736,3.6260548,2.0732725
2248,2248,36946,-4.7699566,3.6468265,2.0684483
2249,2249,36947,-4.7527285,3.680087,2.0706997
2250,2250,36948,-4.7345266,3.712689,2.0726292
2251,2251,36949,-4.805036,3.8159275,2.1131513
2252,2252,36955,-4.718839,4.0395,2.1388798
2253,2253,36957,-4.6753144,4.1027284,2.1417742
2254,2254,36958,-4.6776433,4.1558833,2.154317
2255,2255,36959,-4.6745696,4.2047844,2.1646082
2256,2256,36960,-4.6752687,4.257632,2.176829
2257,2257,36961,-4.66645,4.302295,2.1848693
2258,2258,36962,-4.664868,4.354122,2.1964471
2259,2259,36963,-4.6683273,4.411297,2.2105978
2260,2260,36964,-4.6726274,4.4699864,2.2253914
2261,2261,36965,-4.669584,4.5223026,2.2369692
2262,2262,36966,-4.6964803,4.604598,2.2630193
2263,2263,36967,-4.6936603,4.658691,2.2752402
2264,2264,36968,-4.7090435,4.7317257,2.296466
2265,2265,36969,-4.704467,4.785529,2.3083656
2266,2266,36970,-4.7218204,4.8625636,2.3311994
2267,2267,36971,-4.6971354,4.8969145,2.3337722
2268,2268,36972,-4.670905,4.92977,2.335702
2269,2269,36973,-4.6800117,5.0005317,2.3553197
2521,2521,37973,-5.6673245,3.648304,2.2336383
2522,2522,37974,-5.5230584,3.6035218,2.1860793
2523,2523,37975,-5.431878,3.5917199,2.1590362
2524,2524,37976,-5.36158,3.5926971,2.1400747
2525,2525,37977,-5.304841,3.6020277,2.1263976
2526,2526,37978,-5.2434936,3.6075647,2.1108556
2527,2527,37979,-5.176043,3.6081357,2.0928266
2528,2528,37980,-5.1002455,3.601983,2.0713785
2529,2529,37981,-5.037859,3.6044421,2.055215
2530,2530,37982,-4.9817915,3.6107361,2.0415378
2531,2531,37983,-4.9289017,3.6187294,2.029104
