x,y,z
-33.140244,1.2525337,3.2564774
-33.18518,1.2454188,3.2600975
-33.28469,1.2174866,3.2558112
-33.322872,1.2215598,3.269837
-33.352375,1.2384717,3.29525
-33.37979,1.2581203,3.323134
-33.411087,1.2718081,3.3458848
-33.448277,1.2769003,3.3612547
-33.486813,1.2800972,3.3751125
-33.52769,1.2800817,3.386335
-33.567604,1.2815137,3.3989615
-33.609936,1.2797527,3.4089966
-33.651306,1.2794423,3.420443
-33.692684,1.2792552,3.432159
-33.738087,1.2739291,3.4396586
-33.784576,1.2674353,3.4463568
-33.831673,1.260437,3.4528275
-33.882492,1.2490146,3.4557667
-33.933994,1.2371132,3.4585328
-33.983036,1.2286446,3.4644132
-34.035385,1.2164412,3.4673905
-34.092194,1.1992297,3.4664354
-34.146545,1.1854584,3.4686108
-34.2,1.1731703,3.4722695
-34.245926,1.1700904,3.4837728
-34.301323,1.1562278,3.4866147
-34.347404,1.1534679,3.4988117
-34.346737,1.2039843,3.5546627
-34.377167,1.2186444,3.5812545
-34.39707,1.2448432,3.617279
-34.420067,1.2672429,3.6502619
-34.448555,1.2833328,3.6782207
-34.476223,1.3001158,3.7068186
-34.50483,1.3156941,3.7345338
-34.538567,1.3256679,3.7578893
-34.568558,1.3395,3.7844176
-34.599556,1.3521497,3.8101125
-34.644966,1.3498747,3.8242269
-34.68672,1.3514915,3.8415847
-34.727207,1.3544846,3.8601956
-34.76392,1.3613257,3.8819551
-34.801773,1.3670366,3.9029946
-34.840797,1.3716264,3.9233346
-34.88165,1.3744893,3.9425282
-34.926273,1.3737986,3.9592128
-34.971535,1.3726449,3.975758
-35.016796,1.3716438,3.9926338
-35.06011,1.3726225,4.0112057
-35.104042,1.3731365,4.029635
-35.186802,1.3380728,4.022006
-36.302776,0.739285,3.7782416
-36.30025,0.78571963,3.833899
-36.273952,0.85140085,3.902717
-36.28204,0.88763666,3.9509802
-36.28893,0.924412,3.999548
-36.310993,0.9483607,4.0393515
-36.33344,0.9717612,4.078833
-36.3426,1.0055833,4.125326
-36.347687,1.0422473,4.1736526
-36.4039,1.0381444,4.1950583
-36.540504,0.97138095,4.175841
-36.655876,0.92233205,4.169058
-36.759266,0.88344955,4.1695995
-36.881622,0.83087206,4.1620917
-36.973305,0.8025303,4.1707706
-37.092216,0.7543459,4.1675935
-37.16432,0.7419808,4.1875353
-37.302956,0.68078494,4.1777906
-33.072464,1.322731,3.2709231
-33.120472,1.3100979,3.269226
-33.525425,0.7453687,2.774485
-33.259212,1.2209139,3.209465
-33.293175,1.2316282,3.22927
-33.308113,1.2704995,3.2741532
-33.333828,1.2926736,3.304245
-33.367474,1.3028984,3.323845
-33.39958,1.3152013,3.3453808
-33.43666,1.3202782,3.3606715
-33.473667,1.3254564,3.3761802
-33.5106,1.3307359,3.3919091
-33.549393,1.3334761,3.4055576
-33.594494,1.3277621,3.4120116
-33.635735,1.3274531,3.4233308
-33.676483,1.3279235,3.435485
-33.725273,1.3180361,3.4388833
-33.767097,1.3174627,3.4504876
-33.816624,1.3072314,3.4539976
-33.861122,1.3036771,3.46342
-33.910896,1.2937672,3.467626
-33.962395,1.2820804,3.4705515
-34.010338,1.2751,3.477683
-34.057846,1.2689235,3.4857035
-34.10652,1.2616162,3.4929829
-34.165127,1.2428999,3.490943
-34.227303,1.2205496,3.4861622
-34.279804,1.2099514,3.4914455
-34.327972,1.204644,3.501349
-34.335583,1.2453692,3.5493965
-34.35171,1.2758749,3.5889883
-34.375423,1.297497,3.6213093
-34.40576,1.3115618,3.6475224
-34.43065,1.3313782,3.6784968
-34.466404,1.3392725,3.699895
-34.495537,1.354176,3.7270703
-34.52326,1.3703988,3.7553926
-34.55555,1.3816786,3.7798495
-34.594322,1.3861821,3.7990346
-34.633022,1.3908019,3.818471
-34.67288,1.3942976,3.837184
-34.715763,1.3948212,3.853736
-34.75241,1.4016571,3.8754086
-34.790833,1.4067521,3.895877
-34.829807,1.41135,3.916122
-34.869972,1.4148419,3.9356837
-34.910717,1.4178495,3.955051
-34.948193,1.4240317,3.9770198
-34.999157,1.4175689,3.9895573
-35.05085,1.4106834,4.002033
-35.094097,1.4118378,4.020809
-35.147865,1.403496,4.0326986
-36.310745,0.72236204,3.7000904
-36.29217,0.78283644,3.766119
-36.269295,0.8460517,3.8338094
-36.2849,0.8764007,3.8782
-36.29303,0.9125583,3.92662
-36.31273,0.93881917,3.968143
-36.32136,0.9737644,4.015648
-36.314457,1.0207655,4.0713053
-36.334316,1.0458324,4.1119523
-36.34513,1.0777874,4.1572556
-36.374443,1.0948882,4.1926203
-36.51838,1.0228081,4.1690874
-36.615387,0.98821974,4.171173
-36.70688,0.95856833,4.177112
-36.82245,0.911299,4.1722584
-36.95646,0.8510828,4.159888
-37.043964,0.8266916,4.171237
-37.140755,0.79598594,4.179171
-37.28398,0.7318361,4.166838
-37.427933,0.66834235,4.1559258
-33.242447,0.88112354,2.7914815
-33.042534,1.3416889,3.230833
-33.048553,1.3954194,3.2890425
-33.09887,1.3788209,3.2834659
-33.202923,1.2802143,3.2039862
-33.2469,1.2754326,3.209669
-33.270927,1.3007493,3.2425957
-33.292778,1.3287556,3.277977
-33.317394,1.352139,3.3092456
-33.34764,1.3669467,3.3329034
-33.38092,1.3771925,3.352584
-33.417805,1.3822398,3.3677511
-33.452248,1.390682,3.386055
-33.498077,1.3834312,3.3906088
-33.535778,1.3874855,3.4053125
-33.574398,1.3903348,3.4190931
-33.613472,1.3926411,3.4325414
-33.663002,1.3813584,3.434266
-33.706646,1.378057,3.4431581
-33.75187,1.3729427,3.450654
-33.796143,1.3692708,3.4595885
-33.8441,1.3612077,3.4649153
-33.890606,1.3552425,3.4722557
-33.939312,1.3468506,3.4777136
-33.984943,1.3424814,3.4868245
-34.030098,1.3389015,3.4968038
-34.08832,1.3200958,3.4940434
-34.144627,1.304059,3.493908
-34.18903,1.3022532,3.5060434
-34.23624,1.2974072,3.51581
-34.289124,1.2863691,3.5205998
-34.329163,1.2900825,3.5379438
-34.344063,1.3217177,3.5786576
-34.368847,1.3419948,3.60995
-34.395653,1.359797,3.6392565
-34.423954,1.3757701,3.6671305
-34.44849,1.3955581,3.6982083
-34.469185,1.4191349,3.73243
-34.507446,1.424047,3.7515287
-34.54744,1.4272087,3.7693667
-34.583138,1.4348323,3.7909632
-34.61689,1.4444108,3.8142653
-34.64866,1.455931,3.839243
-34.68397,1.4638419,3.8614635
-34.719162,1.471853,3.8839025
-34.758,1.4762931,3.903666
-34.800552,1.4771905,3.9208174
-34.841175,1.4800522,3.939693
-34.883667,1.4812224,3.9574351
-34.93515,1.4740555,3.9689293
-34.973106,1.4797521,3.9905725
-35.01945,1.4777381,4.0064807
-35.05859,1.482487,4.0277586
-35.114162,1.4723923,4.0379734
-36.333748,0.7026129,3.6090674
-36.274395,0.7980709,3.7011495
-36.264572,0.85057807,3.761774
-36.28413,0.8779576,3.804243
-36.291344,0.91519976,3.853734
-36.30866,0.9437299,3.897008
-36.312065,0.98320246,3.9479551
-36.28848,1.0438416,4.01354
-36.294266,1.08025,4.0620685
-36.324837,1.0966504,4.096782
-36.35299,1.1148317,4.132824
-36.356808,1.1517706,4.181657
-36.484013,1.0932374,4.1662555
-36.578037,1.0611637,4.1693635
-36.67835,1.0250087,4.170381
-36.785767,0.9842608,4.1690435
-36.915318,0.92783475,4.15821
-36.991486,0.91195893,4.174474
-37.109276,0.8659737,4.171917
-37.216225,0.8287816,4.1757555
-37.363136,0.7635014,4.1626196
-37.50086,0.70601034,4.1553907
-37.64153,0.64751124,4.148511
-33.23283,0.87098193,2.7105703
-33.27922,0.8675792,2.7173219
-33.050327,1.3072517,3.1337142
-33.05768,1.3601074,3.1918006
-33.062523,1.4155717,3.2522163
-33.08762,1.4383922,3.2825804
-33.213043,1.3079357,3.1725965
-33.234215,1.337718,3.2097445
-33.25895,1.3615639,3.2415
-33.285126,1.3828044,3.2709308
-33.313267,1.4007931,3.2974668
-33.344826,1.4135725,3.319357
-33.37899,1.4224837,3.3378472
-33.414433,1.4295149,3.354755
-33.446922,1.4405656,3.375389
-33.48309,1.44647,3.3915157
-33.52549,1.4439979,3.4002838
-33.568913,1.4403543,3.4081755
-33.606445,1.444639,3.4232826
-33.648422,1.443196,3.4334521
-33.698,1.4321806,3.4353323
-33.740093,1.4310145,3.4461021
-33.780144,1.4325542,3.459414
-33.80978,1.4470692,3.4842362
-33.868576,1.4257271,3.4778547
-33.912872,1.4225242,3.487533
-33.9711,1.4028549,3.483117
-34.023693,1.39041,3.4852228
-34.07212,1.3832366,3.4921098
-34.12833,1.3673418,3.4917216
-34.17924,1.3579807,3.4971905
-34.229733,1.3494267,3.5035768
-34.279785,1.3416755,3.5108728
-34.327682,1.3366108,3.5206695
-34.322525,1.3900523,3.5800242
-34.34826,1.4089541,3.6102033
-34.376617,1.4247811,3.6378698
-34.402405,1.4431603,3.6677446
-34.434998,1.4541302,3.6915293
-34.47337,1.4589844,3.7103658
-34.508675,1.4670444,3.7319965
-34.54205,1.4770532,3.7553601
-34.575886,1.4865355,3.7784128
-34.60897,1.4967232,3.8021626
-34.638824,1.5100591,3.8285847
-34.677166,1.5149193,3.8482637
-34.71543,1.5198948,3.868195
-34.75425,1.52438,3.8878918
-34.792995,1.5289838,3.907847
-34.83358,1.531894,3.9266229
-34.874756,1.5343311,3.9452047
-34.910725,1.5417063,3.967844
-34.961525,1.5354075,3.9799519
-35.008476,1.5328758,3.9952407
-35.050846,1.5346773,4.0141053
-35.09583,1.534241,4.0314445
-35.064198,1.6020787,4.101236
-36.29505,0.74398255,3.5538788
-36.256905,0.82150006,3.6338534
-36.26419,0.85986304,3.684617
-36.280712,0.8900771,3.7293482
-36.29751,0.91971207,3.7736564
-36.308956,0.95336986,3.8208675
-36.308594,0.9961662,3.8745956
-36.290535,1.0525808,3.9379048
-36.286045,1.0974338,3.9927669
-36.297512,1.1291301,4.0382195
-36.31144,1.1585419,4.0820427
-36.334415,1.1806164,4.1207604
